timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-02-28T19:19:52.398809+00:00,sqlite,insert,1000,cold,5,0.002784,0.002742,0.002977,0.002870
2026-02-28T19:19:52.405416+00:00,sqlite,update,1000,cold,5,0.000520,0.000032,0.002447,0.000027
2026-02-28T19:19:52.416672+00:00,sqlite,read_all,1000,cold,5,0.001730,0.001729,0.001740,0.001749
2026-02-28T19:19:52.417485+00:00,sqlite,read_by_id,1000,cold,5,0.000039,0.000029,0.000086,0.000027
2026-02-28T19:19:52.430401+00:00,sqlite,delete,1000,cold,5,0.001979,0.001948,0.002258,0.001962
2026-02-28T19:25:28.706916+00:00,sqlite,insert,1000,cold,5,0.002674,0.002717,0.002767,0.002726
2026-02-28T19:25:28.712635+00:00,sqlite,update,1000,cold,5,0.000424,0.000030,0.001980,0.000027
2026-02-28T19:25:28.723324+00:00,sqlite,full_scan,1000,cold,5,0.001670,0.001672,0.001684,0.001672
2026-02-28T19:25:28.724024+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000035,0.000023,0.000081,0.000022
2026-02-28T19:25:28.735538+00:00,sqlite,delete,1000,cold,5,0.001844,0.001815,0.002003,0.001890
2026-02-28T19:27:26.389622+00:00,sqlite,insert,1000,cold,5,0.002616,0.002536,0.002721,0.002839
2026-02-28T19:27:26.395661+00:00,sqlite,update,1000,cold,5,0.000470,0.000030,0.002200,0.000027
2026-02-28T19:27:26.406387+00:00,sqlite,full_scan,1000,cold,5,0.001699,0.001693,0.001758,0.001713
2026-02-28T19:27:26.407046+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000034,0.000023,0.000078,0.000022
2026-02-28T19:27:26.418762+00:00,sqlite,delete,1000,cold,5,0.001890,0.001878,0.001963,0.002140
2026-02-28T19:27:57.321165+00:00,sqlite,insert,1000,cold,5,0.002705,0.002706,0.002864,0.002582
2026-02-28T19:27:57.327174+00:00,sqlite,update,1000,cold,5,0.000466,0.000031,0.002183,0.000027
2026-02-28T19:27:57.337758+00:00,sqlite,full_scan,1000,cold,5,0.001662,0.001661,0.001684,0.001663
2026-02-28T19:27:57.338387+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000034,0.000024,0.000075,0.000022
2026-02-28T19:27:57.350386+00:00,sqlite,delete,1000,cold,5,0.001942,0.001950,0.002178,0.001810
2026-02-28T19:28:57.925590+00:00,sqlite,insert,1000,cold,5,0.002955,0.002899,0.003249,0.002817
2026-02-28T19:28:57.931314+00:00,sqlite,update,1000,cold,5,0.000414,0.000031,0.001925,0.000028
2026-02-28T19:28:57.941809+00:00,sqlite,full_scan,1000,cold,5,0.001662,0.001652,0.001703,0.001640
2026-02-28T19:28:57.942396+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000039,0.000027,0.000072,0.000022
2026-02-28T19:28:57.954708+00:00,sqlite,delete,1000,cold,5,0.002007,0.001891,0.002129,0.002442
2026-02-28T19:34:17.300161+00:00,sqlite,insert,1000,cold,5,0.003013,0.002987,0.003308,0.002680
2026-02-28T19:34:17.306059+00:00,sqlite,update,1000,cold,5,0.000421,0.000031,0.001957,0.000027
2026-02-28T19:34:17.316734+00:00,sqlite,full_scan,1000,cold,5,0.001693,0.001699,0.001699,0.001655
2026-02-28T19:34:17.317312+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000034,0.000023,0.000074,0.000022
2026-02-28T19:34:17.329279+00:00,sqlite,delete,1000,cold,5,0.001944,0.001972,0.002065,0.002065
2026-02-28T19:37:49.261121+00:00,sqlite,insert,1000,cold,5,0.002573,0.002588,0.002638,0.002492
2026-02-28T19:37:49.267041+00:00,sqlite,update,1000,cold,5,0.000426,0.000030,0.001984,0.000029
2026-02-28T19:37:49.277931+00:00,sqlite,full_scan,1000,cold,5,0.001726,0.001705,0.001828,0.001660
2026-02-28T19:37:49.278496+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000033,0.000023,0.000070,0.000022
2026-02-28T19:37:49.289951+00:00,sqlite,delete,1000,cold,5,0.001830,0.001797,0.002018,0.001742
2026-02-28T19:38:59.036112+00:00,sqlite,insert,1000,cold,5,0.002645,0.002672,0.002831,0.002750
2026-02-28T19:38:59.041826+00:00,sqlite,update,1000,cold,5,0.000420,0.000030,0.001957,0.000027
2026-02-28T19:38:59.052556+00:00,sqlite,full_scan,1000,cold,5,0.001672,0.001669,0.001678,0.001703
2026-02-28T19:38:59.053153+00:00,sqlite,primary_key_lookup,1000,cold,5,0.000035,0.000022,0.000081,0.000022
