timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T12:44:51.540970+00:00,sqlite,insert,10000,cold,5,0.012127,0.010943,0.010392,0.016975
2026-03-19T12:44:51.614330+00:00,sqlite,full_scan,10000,cold,5,0.013848,0.013747,0.013574,0.014258
2026-03-19T12:44:51.679579+00:00,sqlite,lookup,10000,cold,5,0.010758,0.010550,0.010133,0.011903
2026-03-19T12:44:51.759361+00:00,sqlite,update,10000,cold,5,0.013242,0.013240,0.012524,0.013811
2026-03-19T12:44:51.837366+00:00,sqlite,delete,10000,cold,5,0.012789,0.013061,0.012205,0.013354
2026-03-19T12:53:20.984997+00:00,sqlite,insert,10000,cold,5,0.012177,0.011628,0.010462,0.015251
2026-03-19T12:53:21.059896+00:00,sqlite,full_scan,10000,cold,5,0.014134,0.014233,0.013557,0.014559
2026-03-19T12:53:21.126242+00:00,sqlite,lookup,10000,cold,5,0.010893,0.011167,0.010338,0.011295
2026-03-19T12:53:21.207306+00:00,sqlite,update,10000,cold,5,0.013295,0.013220,0.012808,0.013811
2026-03-19T12:53:21.285126+00:00,sqlite,delete,10000,cold,5,0.012945,0.012385,0.011470,0.015971
