timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T13:03:47.814532+00:00,sqlite,insert,100000,cold,5,0.069497,0.068628,0.066478,0.074156
2026-03-19T13:03:48.393267+00:00,sqlite,full_scan,100000,cold,5,0.107434,0.107604,0.104311,0.109907
2026-03-19T13:03:48.810327+00:00,sqlite,lookup,100000,cold,5,0.069368,0.069355,0.067363,0.071153
2026-03-19T13:03:49.234225+00:00,sqlite,update,100000,cold,5,0.070692,0.070397,0.069197,0.073796
2026-03-19T13:03:49.660941+00:00,sqlite,delete,100000,cold,5,0.070666,0.070905,0.068950,0.072707
