timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-06T20:41:17.197211+00:00,mysql,insert,1000,warm,5,0.022574,0.020698,0.019018,0.032497
2026-03-06T20:41:17.342410+00:00,mysql,full_scan,1000,warm,5,0.028203,0.026197,0.023018,0.040765
2026-03-06T20:41:17.466506+00:00,mysql,primary_key_lookup,1000,warm,5,0.020416,0.020110,0.019645,0.021172
2026-03-06T20:41:17.625686+00:00,mysql,update,1000,warm,5,0.027133,0.026860,0.023618,0.029848
2026-03-06T20:41:17.756685+00:00,mysql,delete,1000,warm,5,0.021604,0.021389,0.021208,0.022662
