timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-13T10:38:22.186567+00:00,mysql,insert,100000,cold,5,0.568393,0.560135,0.545654,0.610149
2026-03-13T10:38:26.969836+00:00,mysql,full_scan,100000,cold,5,0.891092,0.891540,0.883362,0.902425
2026-03-13T10:38:31.091142+00:00,mysql,primary_key_lookup,100000,cold,5,0.556107,0.558503,0.548353,0.559864
2026-03-13T10:38:34.834836+00:00,mysql,update,100000,cold,5,0.637418,0.566355,0.555398,0.920632
2026-03-13T10:38:38.190310+00:00,mysql,delete,100000,cold,5,0.558806,0.556077,0.551458,0.571443
