timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T13:01:23.513316+00:00,redis,insert,50000,cold,5,0.851457,0.445157,0.435494,2.485096
2026-03-19T13:01:40.935818+00:00,redis,full_scan,50000,cold,5,2.981038,2.985145,2.888112,3.086263
2026-03-19T13:01:43.427595+00:00,redis,lookup,50000,cold,5,0.416628,0.416760,0.410387,0.427302
2026-03-19T13:01:46.158282+00:00,redis,update,50000,cold,5,0.409183,0.409798,0.404394,0.414387
2026-03-19T13:01:49.046207+00:00,redis,delete,50000,cold,5,0.433466,0.432807,0.423368,0.444337
