timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T12:55:02.073023+00:00,mongodb,insert,10000,cold,5,0.221756,0.152905,0.089334,0.544883
2026-03-19T12:55:02.692271+00:00,mongodb,full_scan,10000,cold,5,0.120983,0.122038,0.097811,0.137778
2026-03-19T12:55:03.117390+00:00,mongodb,lookup,10000,cold,5,0.071986,0.068300,0.063042,0.095866
2026-03-19T12:55:03.519039+00:00,mongodb,update,10000,cold,5,0.067380,0.067608,0.066171,0.068152
2026-03-19T12:55:03.922892+00:00,mongodb,delete,10000,cold,5,0.066448,0.065724,0.060724,0.074124
