timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T12:47:19.823813+00:00,mysql,insert,10000,cold,5,0.096743,0.090736,0.080724,0.128044
2026-03-19T12:47:20.510307+00:00,mysql,full_scan,10000,cold,5,0.130334,0.114485,0.113075,0.192720
2026-03-19T12:47:20.997099+00:00,mysql,lookup,10000,cold,5,0.081387,0.080853,0.080653,0.082757
2026-03-19T12:47:21.524299+00:00,mysql,update,10000,cold,5,0.082337,0.080901,0.078782,0.090180
2026-03-19T12:47:22.014452+00:00,mysql,delete,10000,cold,5,0.082069,0.079544,0.078363,0.093704
2026-03-19T12:54:09.862483+00:00,mysql,insert,10000,cold,5,0.077041,0.075929,0.072548,0.083997
2026-03-19T12:54:10.456885+00:00,mysql,full_scan,10000,cold,5,0.112158,0.109452,0.108911,0.122972
2026-03-19T12:54:11.024765+00:00,mysql,lookup,10000,cold,5,0.097362,0.079981,0.076172,0.152992
2026-03-19T12:54:11.539602+00:00,mysql,update,10000,cold,5,0.085934,0.083784,0.080101,0.092788
2026-03-19T12:54:12.206256+00:00,mysql,delete,10000,cold,5,0.116403,0.101662,0.082364,0.159931
