timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-19T13:20:45.971980+00:00,sqlite,insert,500000,cold,5,0.345652,0.343864,0.334761,0.367335
2026-03-19T13:20:48.953569+00:00,sqlite,full_scan,500000,cold,5,0.552677,0.554484,0.546787,0.555555
2026-03-19T13:20:50.974511+00:00,sqlite,lookup,500000,cold,5,0.336528,0.335072,0.334380,0.342558
2026-03-19T13:20:53.006108+00:00,sqlite,update,500000,cold,5,0.336816,0.337687,0.333164,0.338598
2026-03-19T13:20:55.038781+00:00,sqlite,delete,500000,cold,5,0.337833,0.337595,0.336474,0.340259
