timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-13T10:33:21.367966+00:00,sqlite,insert,100000,cold,5,0.068578,0.067864,0.066342,0.073059
2026-03-13T10:33:21.938577+00:00,sqlite,full_scan,100000,cold,5,0.106304,0.106331,0.103845,0.108741
2026-03-13T10:33:22.356302+00:00,sqlite,primary_key_lookup,100000,cold,5,0.069577,0.070178,0.066221,0.072717
2026-03-13T10:33:22.786237+00:00,sqlite,update,100000,cold,5,0.071735,0.071904,0.070342,0.072576
2026-03-13T10:33:23.213486+00:00,sqlite,delete,100000,cold,5,0.071217,0.070542,0.070105,0.072493
