Database,Mode,Insert,Full Scan,Lookup,Update,Delete
MongoDB,Cold,0.0148,0.0158,0.0144,0.0143,0.0141
MongoDB,Warm,0.0162,0.016,0.0146,0.0144,0.0145
MySQL,Cold,0.0223,0.0244,0.0203,0.0223,0.0213
MySQL,Warm,0.0226,0.0282,0.0204,0.0271,0.0216
Redis,Cold,0.0102,0.057,0.0082,0.0082,0.0083
Redis,Warm,0.4202,0.058,0.0084,0.0084,0.0088
SQLite,Cold,0.0051,0.0052,0.0054,0.0064,0.0063
SQLite,Warm,0.0048,0.0051,0.0047,0.0066,0.0074
