timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-06T20:31:19.379604+00:00,sqlite,insert,100,warm,5,0.003750,0.003691,0.003582,0.003973
2026-03-06T20:31:19.399288+00:00,sqlite,full_scan,100,warm,5,0.003803,0.003679,0.003535,0.004086
2026-03-06T20:31:19.424810+00:00,sqlite,primary_key_lookup,100,warm,5,0.004173,0.004057,0.003885,0.004663
2026-03-06T20:31:19.458930+00:00,sqlite,update,100,warm,5,0.005576,0.005521,0.005425,0.005919
2026-03-06T20:31:19.495564+00:00,sqlite,delete,100,warm,5,0.005965,0.005931,0.005327,0.006785
