timestamp,db,operation,records,run_type,runs,mean_time,median_time,min_time,max_time
2026-03-06T20:39:19.245221+00:00,mongodb,insert,1000,cold,5,0.014777,0.014393,0.013876,0.016601
2026-03-06T20:39:19.327018+00:00,mongodb,full_scan,1000,cold,5,0.015841,0.015814,0.015262,0.016797
2026-03-06T20:39:19.413765+00:00,mongodb,primary_key_lookup,1000,cold,5,0.014417,0.014437,0.014256,0.014612
2026-03-06T20:39:19.499889+00:00,mongodb,update,1000,cold,5,0.014310,0.014400,0.013904,0.014742
2026-03-06T20:39:19.585474+00:00,mongodb,delete,1000,cold,5,0.014114,0.013891,0.013689,0.015131
